T;Cp;S
100;29.106;173.307
200;29.126;193.485
250;29.201;199.99
298.15;29.376;205.147
300;29.385;205.329
350;29.694;209.88
400;30.106;213.871
450;30.584;217.445
500;31.091;220.693
600;32.09;226.451
700;32.981;231.466
800;33.733;235.921
900;34.355;239.931
1000;34.87;243.578
1100;35.3;246.922
1200;35.667;250.01
1300;35.988;252.878
1400;36.277;255.556
1500;36.544;258.068
1600;36.796;260.434
1700;37.04;262.672
1800;37.277;264.796
1900;37.51;266.818
2000;37.741;268.748
2100;37.969;270.595
2200;38.195;272.366
2300;38.419;274.069
